Id2,Geography,Carto_CT,Total,Not Hispanic or Latino,White alone,Black alone,Amerindian  alone,Asian alone,Other alone,Hispanic or Latino,White Hispanic,Black Hispanic
36005009300,"Census Tract 93, Bronx County, New York",2009300,6424,1942,50,1872,31,1,3964,4482,387,253
36005009600,"Census Tract 96, Bronx County, New York",2009600,2607,1226,158,586,22,426,989,1381,350,126
36005009800,"Census Tract 98, Bronx County, New York",2009800,5189,1553,103,1095,0,238,1287,3636,2224,390
36005011000,"Census Tract 110, Bronx County, New York",2011000,113,0,0,0,0,0,113,113,0,0
36005011502,"Census Tract 115.02, Bronx County, New York",2011502,4568,1554,34,1490,0,67,2489,3014,347,280
36005011700,"Census Tract 117, Bronx County, New York",2011700,1616,503,13,490,15,0,975,1113,94,83
36005011800,"Census Tract 118, Bronx County, New York",2011800,5220,4067,3646,161,0,246,883,1153,415,0
36005011900,"Census Tract 119, Bronx County, New York",2011900,5474,1725,22,1581,32,31,3130,3749,601,280
36005012101,"Census Tract 121.01, Bronx County, New York",2012101,2970,1065,99,842,7,29,1613,1905,347,116
36005012102,"Census Tract 121.02, Bronx County, New York",2012102,1561,224,16,202,0,0,1087,1337,227,117
36005012300,"Census Tract 123, Bronx County, New York",2012300,3995,1312,69,1190,3,39,2319,2683,281,246
36005012500,"Census Tract 125, Bronx County, New York",2012500,4510,1558,59,1380,56,77,2641,2952,443,45
36005012701,"Census Tract 127.01, Bronx County, New York",2012701,1982,542,46,390,29,77,1000,1440,315,138
36005012901,"Census Tract 129.01, Bronx County, New York",2012901,4504,1701,67,1539,0,43,2164,2803,494,268
36005013000,"Census Tract 130, Bronx County, New York",2013000,1520,694,637,52,0,0,434,826,384,110
36005013100,"Census Tract 131, Bronx County, New York",2013100,5240,1722,30,1641,0,7,2648,3518,520,469
36005013200,"Census Tract 132, Bronx County, New York",2013200,7202,3403,2002,1028,0,333,1621,3799,2101,208
36005013300,"Census Tract 133, Bronx County, New York",2013300,5934,2488,65,1934,229,237,2689,3446,706,191
36005013500,"Census Tract 135, Bronx County, New York",2013500,3717,1380,19,1285,11,106,1944,2337,436,199
36005013800,"Census Tract 138, Bronx County, New York",2013800,2480,1861,1624,85,0,132,356,619,335,0
36005014100,"Census Tract 141, Bronx County, New York",2014100,5795,2190,22,2063,48,31,3096,3605,451,194
36005014300,"Census Tract 143, Bronx County, New York",2014300,1193,786,62,663,0,37,296,407,90,64
36005014400,"Census Tract 144, Bronx County, New York",2014400,5417,2168,189,1856,0,111,1989,3249,892,622
36005014500,"Census Tract 145, Bronx County, New York",2014500,7919,3223,101,2989,52,7,4058,4696,400,572
36005014701,"Census Tract 147.01, Bronx County, New York",2014701,7637,3483,43,3440,0,0,2940,4154,453,877
36005014702,"Census Tract 147.02, Bronx County, New York",2014702,5511,2327,80,2206,48,0,2544,3184,504,206
36005014900,"Census Tract 149, Bronx County, New York",2014900,4423,1829,107,1688,0,13,2231,2594,451,166
36005015100,"Census Tract 151, Bronx County, New York",2015100,5086,2363,49,2274,0,0,2326,2723,359,154
36005015200,"Census Tract 152, Bronx County, New York",2015200,2828,1093,720,226,0,122,1223,1735,469,136
36005015300,"Census Tract 153, Bronx County, New York",2015300,4847,2232,54,2131,0,47,1836,2615,268,565
36005015500,"Census Tract 155, Bronx County, New York",2015500,3016,533,10,472,0,42,2328,2483,155,109
36005015700,"Census Tract 157, Bronx County, New York",2015700,4515,1082,36,980,0,66,2743,3433,557,202
36005015800,"Census Tract 158, Bronx County, New York",2015800,1234,575,446,75,0,24,666,659,136,0
36005015900,"Census Tract 159, Bronx County, New York",2015900,1862,131,11,96,19,18,1258,1731,413,62
36005016000,"Census Tract 160, Bronx County, New York",2016000,3760,2485,2247,64,0,90,1046,1275,366,0
36005016100,"Census Tract 161, Bronx County, New York",2016100,4417,1293,9,1284,0,11,2670,3124,338,206
36005016200,"Census Tract 162, Bronx County, New York",2016200,1984,914,766,88,43,7,742,1070,370,6
36005016300,"Census Tract 163, Bronx County, New York",2016300,0,0,0,0,0,0,0,0,0,0
36005016400,"Census Tract 164, Bronx County, New York",2016400,1031,765,696,69,0,0,98,266,174,7
36005016500,"Census Tract 165, Bronx County, New York",2016500,996,419,0,412,0,7,386,577,135,85
36005016600,"Census Tract 166, Bronx County, New York",2016600,2324,962,624,100,0,170,862,1362,460,158
36005016700,"Census Tract 167, Bronx County, New York",2016700,3269,1407,20,1356,17,0,1494,1862,287,230
36005016900,"Census Tract 169, Bronx County, New York",2016900,1440,766,35,731,0,6,427,674,212,43
36005017100,"Census Tract 171, Bronx County, New York",2017100,0,0,0,0,0,0,0,0,0,0
36005017300,"Census Tract 173, Bronx County, New York",2017300,5615,1612,71,1121,10,374,3396,4003,347,607
36005017500,"Census Tract 175, Bronx County, New York",2017500,7140,2784,72,2270,329,14,3478,4356,479,803
36005017701,"Census Tract 177.01, Bronx County, New York",2017701,4857,1415,36,1346,0,8,2873,3442,575,51
36005017702,"Census Tract 177.02, Bronx County, New York",2017702,5522,1993,61,1634,0,124,3110,3529,656,209
36005017901,"Census Tract 179.01, Bronx County, New York",2017901,5071,1384,15,1106,226,77,2770,3687,296,668
36005017902,"Census Tract 179.02, Bronx County, New York",2017902,4007,1624,45,1472,59,0,2089,2383,354,101
36005018101,"Census Tract 181.01, Bronx County, New York",2018101,2973,1137,2,1103,0,0,1346,1836,255,295
36005018102,"Census Tract 181.02, Bronx County, New York",2018102,6247,2746,173,2232,0,253,2717,3501,696,231
36005018301,"Census Tract 183.01, Bronx County, New York",2018301,3971,1960,121,1516,8,258,1762,2011,287,200
36005018302,"Census Tract 183.02, Bronx County, New York",2018302,3589,1365,101,1215,22,15,2011,2224,233,109
36005018400,"Census Tract 184, Bronx County, New York",2018400,3780,2216,2047,66,0,51,936,1564,749,61
36005018500,"Census Tract 185, Bronx County, New York",2018500,8449,3870,93,3639,146,0,3830,4579,620,450
36005018900,"Census Tract 189, Bronx County, New York",2018900,8518,2503,186,2256,17,0,4918,6015,1003,241
